AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.3.1	C040301	"4.3.1 Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"	"Tier II
"	0	0	0	0	0	0	0	0	3	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	6	0	9	9	0	6	0	0	0	0	0	0	0	6	0	9	6	0	0	0	0	9	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	3	3	6	0	0	3	0	0	0	0	3	0	0	0	0	0	9	0	0	0	9	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	9	9	0	0	0	9	3	0	0	0	0	0	0	0	0	3	0	0	3	9	0	9	0	0	0	6	0	0	0	0	9	6	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	6	0	3	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.4.1	C040401	"4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"	"Tier II
"	0	0	0	0	0	0	9	0	0	12	0	27	0	0	0	21	0	0	0	24	27	0	0	27	12	0	1	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	21	0	18	21	0	21	0	9	0	0	0	0	0	15	0	21	21	0	0	27	0	21	0	0	21	0	0	0	0	0	0	21	21	0	0	27	0	21	0	21	0	27	0	27	0	0	0	18	0	0	0	0	0	12	0	0	0	18	15	0	0	9	0	0	18	0	0	18	0	0	0	15	27	0	0	0	0	0	21	0	0	0	0	0	21	0	0	0	24	0	0	0	0	0	18	21	0	0	27	21	18	0	0	0	0	0	0	0	0	15	0	0	27	22	0	21	0	0	27	15	0	9	0	0	21	6	0	0	5	0	0	0	9	0	15	0	0	0	0	21	27	21	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.5.1	C040501	"4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated"	"Tier I/II/III depending on index
"	0	43	32	26	3	19	66	98	95	89	15	49	14	29	41	85	11	37	3	71	85	58	17	46	99	25	38	43	14	43	76	39	6	4	25	103	16	118	6	32	18	96	87	54	45	98	32	109	36	81	87	56	10	20	59	64	8	105	95	23	6	56	15	99	65	9	87	26	44	20	31	0	36	109	87	10	80	60	8	90	92	122	52	20	67	57	60	40	0	79	58	48	49	35	44	92	12	0	42	101	84	17	27	74	36	16	44	20	69	107	0	54	52	43	69	37	39	21	6	38	100	3	94	53	68	8	121	1	3	1	13	87	2	33	82	19	109	97	5	4	90	99	108	27	25	37	29	4	18	36	53	55	48	16	51	89	40	98	0	45	25	95	3	1	13	44	118	80	25	17	78	39	4	40	77	75	78	0	1	18	11	55	29	77	38	96	48	83	30	24	9	11	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.6.1	C040601	"4.6.1 Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"	"Tier II
"	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.a.1	C040a01	4.a.1 Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)	"Tier II
"	0	0	0	21	0	3	18	18	306	0	3	18	24	0	27	159	13	0	0	7	9	3	18	0	0	7	18	21	0	10	0	10	4	15	0	0	4	9	0	0	12	24	0	6	0	0	0	198	26	1	24	18	0	0	0	306	0	357	350	12	0	18	15	204	5	0	0	14	6	3	0	0	5	294	0	22	21	9	0	0	222	207	11	24	0	3	9	1	0	306	0	4	6	0	2	21	0	0	0	0	0	5	3	30	3	0	0	18	17	8	21	9	21	0	6	0	9	0	13	6	306	0	0	5	20	0	258	0	7	0	0	0	0	6	15	0	0	306	0	0	24	0	0	96	20	22	26	0	17	0	11	0	21	0	12	63	0	282	0	0	0	261	0	1	3	3	0	108	0	0	9	0	0	3	0	6	0	0	0	0	15	0	21	0	0	18	21	24	12	9	1	3	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.b.1	C040b01	4.b.1 Volume of official development assistance flows for scholarships by sector and type of study	"Tier I
"	11	11	11	0	11	11	11	11	0	0	0	0	11	11	3	0	11	11	11	11	11	9	11	0	0	11	11	11	11	11	0	11	11	11	11	11	11	11	11	11	11	11	5	11	0	0	11	0	10	11	11	11	11	11	11	0	11	0	0	11	11	11	11	0	11	11	0	8	11	11	9	11	11	0	0	11	11	11	11	0	0	0	11	9	0	11	11	11	11	0	0	11	11	11	10	0	10	11	0	0	0	11	11	11	11	11	0	11	11	11	0	11	11	11	11	11	5	11	10	11	0	11	0	11	11	11	0	11	11	11	11	11	11	11	11	11	0	0	11	11	0	0	0	11	6	10	9	0	11	2	11	11	11	11	0	0	11	0	8	11	11	0	6	11	8	10	0	0	11	11	11	11	11	3	0	11	11	10	11	11	11	11	11	0	11	0	11	11	11	11	11	11	11
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	4	4.c.1	C040c01	4.c.1 Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country	"Tier II
"	0	0	30	93	9	87	92	0	0	0	95	98	109	29	90	0	55	54	0	78	0	205	57	123	0	156	76	118	82	80	0	159	9	17	15	0	0	132	11	42	44	168	60	225	0	0	42	0	198	141	240	134	24	60	211	0	27	0	0	50	6	41	75	0	255	54	0	112	0	39	99	0	21	0	0	9	0	50	30	0	0	0	78	21	0	24	30	80	0	0	122	54	208	0	74	0	51	0	0	0	0	39	34	70	132	35	0	90	106	55	0	165	60	0	51	87	42	27	24	163	0	20	0	120	152	36	0	0	3	0	45	190	12	15	9	15	0	0	12	0	30	0	0	78	137	95	121	0	48	45	83	48	81	63	0	0	94	0	3	18	18	0	5	12	21	83	0	0	22	81	14	43	15	47	85	19	0	0	3	3	16	0	15	0	46	0	76	3	69	0	14	3	6
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.2.1	C050201	"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"	"Tier II
"	8	0	0	0	0	0	8	0	0	1	0	0	8	0	0	1	0	8	0	0	0	0	1	0	1	0	0	0	8	8	0	1	5	0	8	0	0	8	8	0	8	0	1	0	1	1	0	1	0	8	0	8	6	0	0	1	0	1	1	0	8	0	8	1	8	1	1	0	6	0	0	8	8	1	0	8	0	0	0	1	0	1	8	4	0	0	8	8	0	0	0	8	0	0	0	1	8	0	0	1	1	0	8	0	8	8	1	0	0	0	0	0	8	0	0	8	0	8	0	8	1	1	0	8	0	8	0	0	1	0	0	0	0	0	8	8	1	1	0	8	0	1	0	7	0	0	0	0	8	0	0	0	0	8	0	1	0	1	0	0	8	1	0	0	0	0	1	0	0	8	0	8	7	0	0	0	5	0	1	8	8	0	8	1	8	0	7	0	0	0	1	0	8
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.3.1	C050301	5.3.1 Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18	"Tier II
"	2	2	2	0	2	0	2	0	0	0	0	0	2	2	2	0	2	2	2	0	2	2	2	0	0	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	0	2	0	0	2	0	0	2	2	2	2	2	2	0	0	0	0	2	2	2	2	0	2	2	0	0	2	2	2	2	2	0	0	2	2	2	2	0	0	0	2	2	0	2	2	2	0	0	0	2	2	2	2	0	2	0	0	0	0	2	2	0	2	2	0	2	0	2	0	2	2	2	2	2	0	2	2	2	0	2	0	2	2	2	0	0	2	0	2	2	2	2	2	2	0	0	2	2	2	0	0	2	0	2	0	0	2	0	2	2	0	2	0	0	2	0	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	0	2	2	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.3.2	C050302	"5.3.2 Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age"	"Tier II
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.4.1	C050401	"5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location"	"Tier II
"	0	36	24	0	0	0	2	28	6	126	0	0	0	114	0	54	12	16	0	0	22	0	0	0	12	0	0	6	2	126	114	0	0	0	0	72	6	126	0	0	0	126	0	2	0	0	0	8	0	0	20	20	0	6	0	50	108	252	36	0	0	0	0	114	8	0	126	0	20	0	0	0	20	132	0	0	0	6	6	6	0	108	0	0	192	20	0	0	0	138	0	24	18	0	2	6	18	0	0	36	6	4	2	6	0	4	6	0	6	258	0	18	6	0	2	0	30	0	0	0	24	0	6	0	0	0	120	0	0	0	18	16	0	106	126	0	138	36	0	0	36	198	18	0	0	0	0	0	0	0	0	216	0	0	0	0	0	6	0	12	0	12	0	0	0	0	80	432	0	0	12	0	0	0	0	6	144	0	0	0	0	18	6	72	18	588	0	26	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.5.1	C050501	5.5.1 Proportion of seats held by women in (a) national parliaments and (b) local governments	"Tier I (a)/
Tier II (b)
"	39	57	57	57	57	57	57	57	57	57	57	48	51	57	57	57	57	57	57	57	57	57	57	6	57	24	57	57	57	57	57	57	39	57	57	54	57	57	39	57	45	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	30	57	57	57	55	57	57	57	57	57	57	57	57	42	57	57	57	57	57	57	57	57	51	57	57	57	57	57	57	57	57	57	54	57	57	57	57	57	57	57	57	39	57	57	57	54	57	57	57	57	57	54	57	57	57	57	57	36	57	57	42	57	57	45	57	57	57	57	54	54	57	57	57	57	48	57	57	57	57	57	57	57	54	48	39	57	57	57	57	57	57	57	57	45	57	36	57	57	57	57	57	57	36	57	57	57	21	21	57	57	57	57	57	57	57	57	57	57	57	57	57	55	57	57	57	57	9	57	57	57	57	57	57	57	57	57	57
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.5.2	C050502	5.5.2 Proportion of women in managerial positions	"Tier I
"	0	2	6	0	2	1	14	24	34	34	10	2	6	4	11	34	9	14	4	6	19	5	0	3	34	2	1	2	7	0	15	0	0	19	0	8	0	1	1	0	0	16	32	2	34	34	0	34	1	27	20	21	0	13	0	34	8	34	34	0	0	8	2	34	3	2	34	0	16	0	1	1	7	34	34	4	13	9	0	34	25	30	0	0	8	14	1	0	0	15	1	13	1	2	2	34	2	0	0	34	34	5	1	24	5	3	32	0	15	13	0	19	19	9	5	0	1	8	0	2	34	1	9	5	0	1	34	0	0	1	16	20	1	10	17	31	34	34	0	2	8	29	18	2	0	6	0	0	5	7	1	17	3	1	15	34	10	34	0	15	2	34	0	0	2	0	34	24	3	1	22	0	1	11	3	2	27	0	1	6	19	26	16	34	3	11	0	21	0	4	6	3	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.6.1	C050601	"5.6.1 Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"	"Tier II
"	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	5	5.b.1	C050b01	"5.b.1 Proportion of individuals who own a mobile telephone, by sex"	"Tier II
"	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	1	0	3	0	0	0	0	0	3	0	0	0	3	0	1	3	3	0	3	0	1	3	3	0	1	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	3	0	0	1	0	3	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.1.1	C060101	6.1.1 Proportion of population using safely managed drinking water services	"Tier II
"	0	16	0	0	0	0	16	32	16	16	0	16	48	16	0	16	48	0	16	16	16	0	0	0	16	0	0	16	48	0	0	0	0	16	0	32	16	48	0	16	0	16	16	0	16	16	0	16	0	0	48	16	0	46	0	16	0	16	16	0	0	16	16	16	48	0	16	0	16	0	0	0	0	16	16	16	0	48	0	16	48	16	48	0	16	0	16	16	0	14	16	48	0	16	0	16	0	0	16	16	16	0	0	16	0	0	16	0	0	16	32	0	16	20	48	0	15	0	0	48	16	0	16	48	0	16	16	0	0	0	48	0	0	0	48	0	11	16	0	0	0	16	16	16	0	0	0	16	0	0	0	16	0	0	32	16	0	16	0	16	0	16	0	0	0	16	16	16	0	16	0	0	0	0	0	16	0	48	0	48	16	48	0	16	16	27	0	16	42	0	0	0	16
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.2.1	C060201	6.2.1 Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water	"Tier II
"	79	94	117	48	60	16	63	58	16	48	12	0	96	68	40	16	67	80	89	48	80	81	48	27	32	60	75	48	72	66	16	48	75	45	63	78	94	80	72	48	84	75	72	98	32	48	94	16	16	66	108	65	54	98	48	48	48	32	16	48	48	32	81	48	96	48	68	14	63	78	64	72	88	32	32	64	72	48	120	32	48	30	78	75	16	63	77	66	0	16	16	73	48	32	66	48	69	16	16	48	48	93	96	64	42	69	48	81	48	95	32	84	54	39	80	91	43	69	32	81	48	42	16	48	123	81	16	27	45	32	68	64	48	48	80	48	32	32	84	42	14	10	27	96	14	69	16	16	66	16	129	104	14	75	32	48	81	16	111	48	81	48	15	66	75	84	48	48	45	68	48	81	0	16	48	100	77	95	90	96	32	32	126	48	60	32	96	80	14	80	38	85	69
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.3.2	C060302	6.3.2 Proportion of bodies of water with good ambient water quality	"Tier II
"	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	4	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	2	4	0	0	4	0	4	0	0	0	4	4	4	0	0	3	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	4	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	4	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	2	0	0	4	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.4.2	C060402	6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources	"Tier I
"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.5.1	C060501	6.5.1 Degree of integrated water resources management implementation (0–100)	"Tier I
"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.5.2	C060502	6.5.2 Proportion of transboundary basin area with an operational arrangement for water cooperation	"Tier I
"	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.6.1	C060601	6.6.1 Change in the extent of water-related ecosystems over time	"Tier I
"	48	48	48	57	48	48	48	48	48	60	48	48	48	48	48	48	48	48	48	56	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	58	56	55	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	50	56	48	48	54	48	48	48	48	48	48	48	59	48	48	48	48	48	48	48	58	48	48	48	48	48	48	48	48	48	48	54	48	48	48	48	48	55	48	48	48	48	48	48	48	57	48	48	48	48	48	53	48	58	48	48	48	48	58	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	58	48	58	48	48	48	57	48	48	54	56	48	48	48	48	48	48	48	48	48	48	48	48	48	50	48	48	48	48	48	48	48	48	48	48	58
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.a.1	C060a01	6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan	"Tier I
"	17	17	17	0	17	7	17	17	0	0	0	1	17	17	6	0	17	17	17	16	17	13	17	0	0	17	17	12	17	17	0	17	17	17	17	17	17	17	16	15	17	17	11	17	0	0	17	0	14	17	17	17	12	17	17	0	17	0	0	17	14	17	17	0	17	15	0	16	17	17	16	17	17	0	0	17	17	16	17	0	0	0	17	17	0	17	17	17	17	0	0	17	17	17	17	0	16	8	0	0	0	17	17	17	15	17	0	17	17	17	0	17	16	13	17	17	10	17	14	17	0	17	0	17	17	17	0	11	16	13	17	17	17	17	17	17	0	0	17	17	0	0	0	17	5	17	13	0	17	8	17	17	12	17	0	0	17	3	17	17	17	0	6	17	16	17	0	0	17	17	17	17	17	7	0	17	17	10	13	17	12	17	17	0	17	0	17	15	17	17	17	17	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	6	6.b.1	C060b01	6.b.1 Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management	"Tier I
"	8	4	0	0	6	0	8	6	0	0	0	0	10	0	4	0	8	8	4	6	8	0	4	0	0	8	10	6	10	6	0	0	6	4	6	6	4	8	0	4	10	6	0	6	0	0	6	0	0	8	4	8	2	8	2	2	8	0	0	0	4	6	4	0	10	0	0	0	4	8	4	8	10	0	0	8	4	4	0	0	0	0	10	4	0	4	4	10	0	0	0	8	10	4	10	0	8	0	0	6	0	10	2	4	8	10	0	6	0	6	0	10	2	0	6	10	4	0	0	10	0	6	0	0	6	8	0	4	0	0	8	8	4	10	6	10	0	0	4	10	0	0	0	10	0	0	0	0	0	0	10	6	0	10	0	0	10	0	0	10	10	0	10	6	0	4	0	0	0	8	10	10	6	0	0	2	0	0	0	6	6	2	2	0	8	0	10	6	6	4	2	4	4
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	7	7.1.1	C070101	7.1.1 Proportion of population with access to electricity	"Tier I
"	46	51	51	51	51	51	51	51	51	51	51	48	51	51	51	51	51	51	51	51	51	51	49	51	51	51	44	51	51	51	51	51	51	51	51	51	51	51	51	48	38	51	51	51	51	51	51	51	51	51	51	51	51	50	51	51	51	51	51	50	51	51	51	51	51	51	51	51	51	46	51	48	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	43	51	51	51	51	42	51	51	51	51	51	38	51	51	51	51	51	51	51	50	30	51	34	51	51	51	51	51	50	51	51	51	51	51	51	51	51	51	51	51	51	51	37	51	51	51	51	51	51	51	51	51	51	39	51	51	51	48	51	51	51	51	49	51	51	51	39	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
